subject,volume,modality,data,vessel,stimDur
sub-06,15,vaso,-4.281678540271966,arteries,12
sub-06,16,vaso,5.582536406459132,veins,12
sub-06,16,vaso,-4.2790099590460295,arteries,12
sub-06,17,vaso,5.683807928593926,veins,12
sub-06,17,vaso,-2.448292604234085,arteries,12
sub-06,18,vaso,5.780181882166989,veins,12
sub-06,18,vaso,-2.479932051818988,arteries,12
sub-06,19,vaso,5.706328866895698,veins,12
sub-06,19,vaso,-2.2906910093539854,arteries,12
sub-06,20,vaso,5.628920672727906,veins,12
sub-06,20,vaso,-3.612004577006403,arteries,12
sub-06,21,vaso,5.462514745475329,veins,12
sub-06,21,vaso,-2.708634036190468,arteries,12
sub-06,22,vaso,5.167985181630264,veins,12
sub-06,22,vaso,-1.2624170992693466,arteries,12
sub-06,23,vaso,4.5304671037750825,veins,12
sub-06,23,vaso,-0.11213236814094282,arteries,12
sub-06,24,vaso,3.7572806516610973,veins,12
sub-06,24,vaso,0.6582595441042141,arteries,12
sub-06,25,vaso,2.7478728968869586,veins,12
sub-06,25,vaso,1.898141141447598,arteries,12
sub-06,26,vaso,1.6960020342918436,veins,12
sub-06,26,vaso,2.065974155650764,arteries,12
sub-06,27,vaso,0.6366051376637942,veins,12
sub-06,27,vaso,1.7736448819814752,arteries,12
sub-06,28,vaso,-0.3336890522507642,veins,12
sub-06,28,vaso,0.7824085915260234,arteries,12
sub-06,29,vaso,-0.9141071370706995,veins,12
sub-06,29,vaso,0.9160407099881522,arteries,12
sub-06,30,vaso,-1.2508765132671935,veins,12
sub-06,30,vaso,1.8774511913618235,arteries,12
sub-06,31,vaso,-1.6425779707970751,veins,12
sub-06,31,vaso,2.4897271620927,arteries,12
sub-06,32,vaso,-2.0691609988204105,veins,12
sub-06,32,vaso,3.0027271087391543,arteries,12
sub-06,33,vaso,-2.613759505028817,veins,12
sub-06,33,vaso,3.157877729219651,arteries,12
sub-06,34,vaso,-3.200119137814505,veins,12
sub-06,34,vaso,3.1354978324480247,arteries,12
sub-06,35,vaso,-3.729444504209535,veins,12
sub-06,35,vaso,2.8389654037395795,arteries,12
sub-06,36,vaso,-4.0677617557643,veins,12
sub-06,36,vaso,2.4678292594880977,arteries,12
sub-06,37,vaso,-4.198633668720943,veins,12
sub-06,37,vaso,1.9770064507111622,arteries,12
sub-06,38,vaso,-4.060839509314987,veins,12
sub-06,38,vaso,1.451170412749941,arteries,12
sub-06,39,vaso,-4.043094674383461,veins,12
sub-06,39,vaso,1.0354425148889654,arteries,12
sub-06,40,vaso,-3.8059110488955294,veins,12
sub-06,40,vaso,0.9307450454886925,arteries,12
sub-06,41,vaso,-3.526309690933744,veins,12
sub-06,41,vaso,0.7910650277416573,arteries,12
sub-06,42,vaso,-3.377964612303744,veins,12
sub-06,42,vaso,0.7280656106491801,arteries,12
sub-06,43,vaso,-3.1670439247759288,veins,12
sub-06,43,vaso,0.2613488392632926,arteries,12
sub-06,44,vaso,-3.2622076246556526,veins,12
sub-06,44,vaso,-0.4302371162899936,arteries,12
sub-06,45,vaso,-3.3668085239376166,veins,12
sub-06,45,vaso,-1.2951736684185762,arteries,12
sub-06,46,vaso,-3.279896908571153,veins,12
sub-06,46,vaso,-1.78622621140864,arteries,12
sub-06,47,vaso,-3.1250813403561946,veins,12
sub-06,47,vaso,-2.2140236764311543,arteries,12
sub-06,48,vaso,-2.478737522222496,veins,12
sub-06,48,vaso,-0.1195994353333403,arteries,12
sub-06,49,vaso,-1.542061836251123,veins,12
sub-06,49,vaso,2.7483325729212296,arteries,12
sub-06,50,vaso,-0.7383701688446437,veins,12
sub-06,50,vaso,3.271609249492118,arteries,12
sub-06,51,vaso,-0.18704279028561416,veins,12
sub-06,51,vaso,1.8250228792503844,arteries,12
sub-06,52,vaso,-0.20790298326795598,veins,12
sub-06,52,vaso,-0.3373867255708983,arteries,12
sub-06,0,bold,-3.2092633490678213,veins,12
sub-06,0,bold,-2.0684224682446586,arteries,12
sub-06,1,bold,-2.9888352309285855,veins,12
sub-06,1,bold,-1.8448684833035707,arteries,12
sub-06,2,bold,-2.6654636507874145,veins,12
sub-06,2,bold,-1.5253924940138885,arteries,12
sub-06,3,bold,-2.251619145135714,veins,12
sub-06,3,bold,-1.178168946872871,arteries,12
sub-06,4,bold,-1.678354429772583,veins,12
sub-06,4,bold,-0.8617846720384365,arteries,12
sub-06,5,bold,-0.9193348402095564,veins,12
sub-06,5,bold,-0.5585364815415775,arteries,12
sub-06,6,bold,-0.03311663722960954,veins,12
sub-06,6,bold,-0.22284726992363488,arteries,12
sub-06,7,bold,0.9719091413679382,veins,12
sub-06,7,bold,0.1982704185799568,arteries,12
sub-06,8,bold,1.9947341093922744,veins,12
sub-06,8,bold,0.7040727855789831,arteries,12
sub-06,9,bold,2.9808435326514577,veins,12
sub-06,9,bold,1.2416112316528884,arteries,12
sub-06,10,bold,3.9468316120299782,veins,12
sub-06,10,bold,1.7863181461556912,arteries,12
sub-06,11,bold,4.879926332475548,veins,12
sub-06,11,bold,2.2853581301127925,arteries,12
sub-06,12,bold,5.778131141255502,veins,12
sub-06,12,bold,2.7412425977262935,arteries,12
sub-06,13,bold,6.634986784999326,veins,12
sub-06,13,bold,3.2165356898630577,arteries,12
sub-06,14,bold,7.443742784521914,veins,12
sub-06,14,bold,3.706415436865136,arteries,12
sub-06,15,bold,8.190222957322025,veins,12
