subject,session,volume,modality,data,stimDur,jitter,interpolation
sub-05,ses-01,5,bold,-1.1626745442898545,2.0,355,linear
sub-05,ses-01,6,bold,-0.5676168426225203,2.0,355,linear
sub-05,ses-01,7,bold,0.0667205299923257,2.0,355,linear
sub-05,ses-01,8,bold,0.5905471865832235,2.0,355,linear
sub-05,ses-01,9,bold,0.8696087294341348,2.0,355,linear
sub-05,ses-01,10,bold,0.5826326260191861,2.0,355,linear
sub-05,ses-01,11,bold,0.035062287736131736,2.0,355,linear
sub-05,ses-01,12,bold,-0.6397272833171819,2.0,355,linear
sub-05,ses-01,13,bold,-1.2945838870240145,2.0,355,linear
sub-05,ses-01,14,bold,-1.6384275737510001,2.0,355,linear
sub-05,ses-01,15,bold,-1.8148929611420117,2.0,355,linear
sub-05,ses-01,16,bold,-1.8638459838900112,2.0,355,linear
sub-05,ses-01,17,bold,-1.820755598596857,2.0,355,linear
sub-05,ses-01,18,bold,-1.8087371918144135,2.0,355,linear
sub-05,ses-01,19,bold,-1.798770708141173,2.0,355,linear
sub-05,ses-01,0,vaso,-0.5371713754875662,4.0,0.0,linear
sub-05,ses-01,1,vaso,-0.3170234132919614,4.0,0.0,linear
sub-05,ses-01,2,vaso,-0.5371713754875662,4.0,0.0,linear
sub-05,ses-01,3,vaso,-0.9158258704640154,4.0,0.0,linear
sub-05,ses-01,4,vaso,-0.9862732183665956,4.0,0.0,linear
sub-05,ses-01,5,vaso,-1.100750158708319,4.0,0.0,linear
sub-05,ses-01,6,vaso,-0.5107536200240848,4.0,0.0,linear
sub-05,ses-01,7,vaso,0.18491394051400878,4.0,0.0,linear
sub-05,ses-01,8,vaso,0.8277459901251727,4.0,0.0,linear
sub-05,ses-01,9,vaso,1.3472951809067935,4.0,0.0,linear
sub-05,ses-01,10,vaso,1.4881898767119761,4.0,0.0,linear
sub-05,ses-01,11,vaso,1.1447590556868281,4.0,0.0,linear
sub-05,ses-01,12,vaso,0.7484927237347505,4.0,0.0,linear
sub-05,ses-01,13,vaso,0.1408843480748878,4.0,0.0,linear
sub-05,ses-01,14,vaso,-0.5988128049023267,4.0,0.0,linear
sub-05,ses-01,15,vaso,-0.8982140334883537,4.0,0.0,linear
sub-05,ses-01,16,vaso,-0.9422436259274747,4.0,0.0,linear
sub-05,ses-01,17,vaso,-0.9862732183665956,4.0,0.0,linear
sub-05,ses-01,18,vaso,-1.091944240220477,4.0,0.0,linear
sub-05,ses-01,19,vaso,-1.22403301753784,4.0,0.0,linear
sub-05,ses-01,20,vaso,-1.3473158763673831,4.0,0.0,linear
sub-05,ses-01,21,vaso,-1.4970164906604078,4.0,0.0,linear
