123.9941 	DATA 	Keypress: 5
123.9946 	DATA 	TR 148 | TR1 74 | TR2 74
124.8934 	DATA 	Keypress: 5
124.8938 	DATA 	TR 149 | TR1 75 | TR2 74
125.7941 	DATA 	Keypress: 5
125.7944 	DATA 	TR 150 | TR1 75 | TR2 75
126.6619 	DATA 	Keypress: 5
126.6623 	DATA 	TR 151 | TR1 76 | TR2 75
127.5294 	DATA 	Keypress: 5
127.5299 	DATA 	TR 152 | TR1 76 | TR2 76
128.3928 	DATA 	Keypress: 5
128.3932 	DATA 	TR 153 | TR1 77 | TR2 76
129.2604 	DATA 	Keypress: 5
129.2795 	DATA 	TR 154 | TR1 77 | TR2 77
130.0782 	DATA 	Keypress: 5
130.0786 	DATA 	TR 155 | TR1 78 | TR2 77
130.9114 	DATA 	Keypress: 5
130.9118 	DATA 	TR 156 | TR1 78 | TR2 78
131.7623 	DATA 	Keypress: 5
131.7628 	DATA 	TR 157 | TR1 79 | TR2 78
132.6426 	DATA 	Keypress: 5
132.6429 	DATA 	TR 158 | TR1 79 | TR2 79
133.4593 	DATA 	Keypress: 5
133.4597 	DATA 	TR 159 | TR1 80 | TR2 79
134.3433 	DATA 	Keypress: 5
134.3437 	DATA 	TR 160 | TR1 80 | TR2 80
135.2290 	DATA 	Keypress: 5
135.2294 	DATA 	TR 161 | TR1 81 | TR2 80
136.0279 	DATA 	Keypress: 5
136.0283 	DATA 	TR 162 | TR1 81 | TR2 81
136.2087 	DATA 	
136.2087 	DATA 	Trial complete
136.2087 	DATA 	
136.8617 	DATA 	Keypress: 5
136.8621 	DATA 	TR 163 | TR1 82 | TR2 81
137.6432 	DATA 	Keypress: 5
137.6436 	DATA 	TR 164 | TR1 82 | TR2 82
138.4792 	DATA 	Keypress: 5
138.4796 	DATA 	TR 165 | TR1 83 | TR2 82
139.2787 	DATA 	Keypress: 5
139.2791 	DATA 	TR 166 | TR1 83 | TR2 83
140.1122 	DATA 	Keypress: 5
140.1126 	DATA 	TR 167 | TR1 84 | TR2 83
140.9433 	DATA 	Keypress: 5
140.9436 	DATA 	TR 168 | TR1 84 | TR2 84
141.8615 	DATA 	Keypress: 5
141.8620 	DATA 	TR 169 | TR1 85 | TR2 84
142.7290 	DATA 	Keypress: 5
142.7295 	DATA 	TR 170 | TR1 85 | TR2 85
143.5943 	DATA 	Keypress: 5
143.5946 	DATA 	TR 171 | TR1 86 | TR2 85
144.4122 	DATA 	Keypress: 5
144.4125 	DATA 	TR 172 | TR1 86 | TR2 86
145.2438 	DATA 	Keypress: 5
145.2442 	DATA 	TR 173 | TR1 87 | TR2 86
146.1439 	DATA 	Keypress: 5
146.1442 	DATA 	TR 174 | TR1 87 | TR2 87
146.9759 	DATA 	Target presented
147.0099 	DATA 	Keypress: 5
147.0103 	DATA 	TR 175 | TR1 88 | TR2 87
147.5439 	DATA 	Keypress: 1
147.5442 	DATA 	Key1 pressed
147.5442 	DATA 	Target detected
147.8434 	DATA 	Keypress: 5
147.8437 	DATA 	TR 176 | TR1 88 | TR2 88
148.6777 	DATA 	Keypress: 5
148.6909 	DATA 	TR 177 | TR1 89 | TR2 88
149.5443 	DATA 	Keypress: 5
149.5447 	DATA 	TR 178 | TR1 89 | TR2 89
150.3755 	DATA 	Keypress: 5
150.3759 	DATA 	TR 179 | TR1 90 | TR2 89
151.1756 	DATA 	Keypress: 5
151.1760 	DATA 	TR 180 | TR1 90 | TR2 90
152.0120 	DATA 	Keypress: 5
152.0125 	DATA 	TR 181 | TR1 91 | TR2 90
152.2418 	DATA 	EndOfRun sub-0x_ses-01_run-01

152.2419 	DATA 	We spent 17.24133881900343 seconds waiting for triggers
152.2419 	DATA 	RatioOfDetectedTargets 1.0
152.2419 	DATA 	You have detected 2 out of 2 targets.
157.0661 	DATA 	Keypress: 5
157.8253 	EXP 	window1: mouseVisible = True
